№,Name,Description,Price,Image URL
Kia Mohave (Borrego),"2019 г., 3 л., автомат, внедорожник 5 дв., дизель, руль слева, 40 000 км",$ 50 500,https://im.mashina.kg/tachka/images//c/3/e/c3e14bb112d8c3778fc4a4abfb757d24_240x180.jpg
Hyundai Santa Fe,"2020 г., 2.2 л., робот, внедорожник 5 дв., дизель, руль слева, 30 000 км",$ 48 999,https://im.mashina.kg/tachka/images//3/4/8/348c1a2c0bde084de34d1a58e9c921ae_240x180.jpg
Hyundai Santa Fe,"2020 г., 2.2 л., робот, внедорожник 5 дв., дизель, руль слева, 45 700 км",$ 40 499,https://im.mashina.kg/tachka/images//6/a/c/6aca6de834c8afc5c1130d342e3e7d04_240x180.jpg
Nissan Pathfinder,"1997 г., 3.3 л., автомат, внедорожник 5 дв., бензин, руль слева, 360 000 км",$ 6 199,https://im.mashina.kg/tachka/images//4/2/1/42161bdc27dea3fa06bab419cccef203_240x180.jpg
Toyota Alphard,"2006 г., 2.4 л., автомат, минивэн, бензин, руль слева, 140 002 км",$ 11 000,https://im.mashina.kg/tachka/images//6/0/d/60d1284c699c059ee7b92d573c6ef313_240x180.jpg
Mercedes-Benz E-класс,"1998 г., 4.3 л., автомат, седан, бензин, руль слева, 250 000 км",$ 7 000,https://im.mashina.kg/tachka/images//6/b/1/6b120e0a97092eb4ca722f3614ea2870_240x180.jpg
Mercedes-Benz E-класс,"2000 г., 3.2 л., автомат, седан, бензин, руль слева, 85 000 км",$ 7 100,https://im.mashina.kg/tachka/images//4/3/9/439f7e4124a6a1d3de66d9c948c194b2_240x180.jpg
Toyota RAV4,"2019 г., 2.5 л., вариатор, внедорожник 5 дв., гибрид, руль слева, 85 000 км",$ 37 000,https://im.mashina.kg/tachka/images//8/a/9/8a9c53fa276c31d283d0bad71339050b_240x180.jpg
Lexus ES,"2013 г., 2.5 л., вариатор, седан, гибрид, руль слева, 140 000 км",$ 21 800,https://im.mashina.kg/tachka/images//6/c/1/6c1e020740abc694f738c229617fa0af_240x180.jpg
Toyota Camry,"2018 г., 2.5 л., автомат, седан, бензин, руль слева, 120 000 км",$ 22 800,https://im.mashina.kg/tachka/images//0/0/c/00c975843faa102d25add02b7ea85737_240x180.jpg
